Model auta,Cena (Kč),Nájezd (km),Výkon (kW),Rok výroby,Palivo,Převodovka,Kola,Náhon 4x4,Extra,Objem motoru,Typ motoru,Hybrid typ,Karoserie,Výbava,Záruka,Stav,Zdroj,Odkaz na auto
Škoda Superb 3 Combi Scout 2.0 TDI,649000,140782,147,2023,Nafta,Automat,ALU 18''+ ALU 17'',Ne,4x4 DSG Webasto Tangerine Orange,,,,Combi,,,Dostupný,Autodraft.cz,https://www.autodraft.cz/detail/15612-skoda-superb-3-combi-scout-2-0-tdi-147kw-4x4-dsg-webasto-tangerine-orange-alu-18-alu-17.html
Mercedes-Benz C 220d 4MATIC kombi,735000,42158,147,2022,Nafta,Automat,,Ne,4x4 AVANTGARDE,,,,,,Ano,Dostupný,Autodraft.cz,https://www.autodraft.cz/detail/14745-mercedes-benz-c-220d-4matic-kombi-147kw-4x4-avantgarde.html
Škoda Octavia 4 Combi 2.0 TDI,432000,147851,110,2022,Nafta,Automat,,Ne,DSG Tažné,,,,Combi,,,Dostupný,Autodraft.cz,https://www.autodraft.cz/detail/15654-skoda-octavia-4-combi-2-0-tdi-110kw-dsg-tazne.html
Škoda Kodiaq 2.0 TDI,539000,178193,140,2018,Nafta,Automat,ALU 19''+ zimní sada,Ne,4x4 DSG,,,,,Sportline,,Dostupný,Autodraft.cz,https://www.autodraft.cz/detail/15487-skoda-kodiaq-2-0-tdi-140kw-4x4-dsg-sportline-alu-19-zimni-sada.html
VW Golf 8 Variant 2.0 TDI,432000,159932,110,2023,Nafta,Automat,2x sada ALU 16'',Ne,DSG,,,,Variant,,,Dostupný,Autodraft.cz,https://www.autodraft.cz/detail/15620-volkswagen-golf-8-variant-2-0-tdi-110kw-dsg-2x-sada-alu-16.html
VW Passat B8 Variant 2.0 TDI,452000,162291,110,2023,Nafta,Automat,2x sada ALU 16'',Ne,DSG,,,,Variant,,,Dostupný,Autodraft.cz,https://www.autodraft.cz/detail/15605-volkswagen-passat-b8-variant-2-0-tdi-110kw-dsg-2x-sada-alu-16.html
Škoda Superb 3 Combi Style 2.0 TDI,597000,102984,147,2022,Nafta,Automat,ALU 18''+ zimní sada,Ne,4x4 DSG,,,,Combi,,,Zamluvené,Autodraft.cz,https://www.autodraft.cz/detail/15568-skoda-superb-3-combi-style-2-0-tdi-147kw-4x4-dsg-alu-18-zimni-sada.html
Škoda Karoq Style 2.0 TDI,496000,164503,85,2023,Nafta,Automat,ALU 19'',Ne,DSG,,,,,,,Dostupný,Autodraft.cz,https://www.autodraft.cz/detail/15382-skoda-karoq-style-2-0-tdi-85kw-dsg-alu-19.html
VW Tiguan Elegance 4Motion 2.0 TDI,729000,57328,110,2022,Nafta,Automat,ALU 18'',Ne,4x4 DSG,,,,,,,Dostupný,Autodraft.cz,https://www.autodraft.cz/detail/15588-volkswagen-tiguan-elegance-4motion-2-0-tdi-110kw-4x4-dsg-alu-18.html
VW Passat B8 Variant 2.0 TDI,429000,198075,110,2023,Nafta,,ALU 19''+ ALU 17'',Ne,,,,,Variant,R-Line,,Dostupný,Autodraft.cz,https://www.autodraft.cz/detail/15521-volkswagen-passat-b8-variant-2-0-tdi-110kw-r-line-alu-19-alu-17.html
VW Golf 8 Variant Style 2.0 TDI,440000,138396,110,2022,Nafta,Automat,ALU 17''+ zimní sada,Ne,DSG,,,,Variant,,,Dostupný,Autodraft.cz,https://www.autodraft.cz/detail/15497-volkswagen-golf-8-variant-style-2-0-tdi-110kw-dsg-alu-17-zimni-sada.html
VW Passat B8 Variant 2.0 TDI,535000,151618,147,2023,Nafta,Automat,ALU 17''+ ALU 16'',Ne,DSG,,,,Variant,R-Line,,Dostupný,Autodraft.cz,https://www.autodraft.cz/detail/15511-volkswagen-passat-b8-variant-2-0-tdi-147kw-dsg-r-line-alu-17-alu-16.html
Škoda Superb 3 Combi Style 2.0 TDI,586000,124429,147,2023,Nafta,Automat,ALU 19'' + ALU 17'',Ne,DSG,,,,Combi,,,Dostupný,Autodraft.cz,https://www.autodraft.cz/detail/15505-skoda-superb-3-combi-style-2-0-tdi-147kw-dsg-alu-19-alu-17.html
Škoda Octavia 4 Combi 2.0 TDI,410000,156441,110,2022,Nafta,Automat,ALU 16'',Ne,DSG,,,,Combi,,,Dostupný,Autodraft.cz,https://www.autodraft.cz/detail/15481-skoda-octavia-4-combi-2-0-tdi-110kw-dsg-alu-16.html
VW Golf 8 Variant 2.0 TDI,390000,175122,110,2022,Nafta,Automat,ALU 16'',Ne,DSG,,,,Variant,,,Dostupný,Autodraft.cz,https://www.autodraft.cz/detail/15451-volkswagen-golf-8-variant-2-0-tdi-110kw-dsg-alu-16.html
VW Passat B8 Variant 2.0 TDI,476000,132918,110,2022,Nafta,Automat,ALU 16'',Ne,DSG,,,,Variant,,,Dostupný,Autodraft.cz,https://www.autodraft.cz/detail/15388-volkswagen-passat-b8-variant-2-0-tdi-110kw-dsg-alu-16.html
Škoda Superb 3 Combi Scout 2.0 TDI,652000,126827,147,2022,Nafta,Automat,ALU 19'',Ne,4x4 DSG,,,,Combi,,,Dostupný,Autodraft.cz,https://www.autodraft.cz/detail/15464-skoda-superb-3-combi-scout-2-0-tdi-147kw-4x4-dsg-alu-19.html
Škoda Superb 3 Sedan Style 2.0 TDI,585000,121177,147,2023,Nafta,Automat,2x sada ALU 17'',Ne,DSG Webasto,,,,,,,Dostupný,Autodraft.cz,https://www.autodraft.cz/detail/15444-skoda-superb-3-sedan-style-2-0-tdi-147kw-dsg-webasto-2x-sada-alu-17.html
VW Golf 8 Variant R-Line 2.0 TDI,495000,131031,110,2021,Nafta,Automat,ALU 18''+ zimní sada,Ne,DSG,,,,Variant,,,Dostupný,Autodraft.cz,https://www.autodraft.cz/detail/15413-volkswagen-golf-8-variant-r-line-2-0-tdi-110kw-dsg-alu-18-zimni-sada.html
Škoda Kodiaq 2.0 TDI,952000,49056,147,2023,Nafta,Automat,ALU 19''+ ALU 18'',Ne,4x4 DSG Laurin & Klement,,,,,,,Dostupný,Autodraft.cz,https://www.autodraft.cz/detail/15429-skoda-kodiaq-2-0-tdi-147kw-4x4-dsg-laurin-klement-alu-19-alu-18.html
Škoda Kodiaq 2.0 TDI,827000,128729,147,2022,Nafta,Automat,ALU 20'',Ne,4x4 DSG Laurin & Klement,,,,,,,Dostupný,Autodraft.cz,https://www.autodraft.cz/detail/15422-skoda-kodiaq-2-0-tdi-147kw-4x4-dsg-laurin-klement-alu-20.html
VW Transporter 2.0 TDI,860000,55151,110,2024,Nafta,Automat,,Ne,DSG 9-Míst,,,,,,,Dostupný,Autodraft.cz,https://www.autodraft.cz/detail/15402-volkswagen-transporter-2-0-tdi-110kw-dsg-9-mist.html
VW Golf Variant 4Motion 2.0 TDI,497000,136130,147,2022,Nafta,Automat,2x sada ALU 17'',Ne,4x4 DSG Alltrack,,,,Variant,,,Dostupný,Autodraft.cz,https://www.autodraft.cz/detail/14914-volkswagen-golf-variant-4motion-2-0-tdi-147kw-4x4-dsg-alltrack-2x-sada-alu-17.html
VW Passat B8 Variant Elegance 2.0 TDI,526000,127892,147,2020,Nafta,Automat,ALU 17'',Ne,DSG,,,,Variant,,,Dostupný,Autodraft.cz,https://www.autodraft.cz/detail/15389-volkswagen-passat-b8-variant-elegance-2-0-tdi-147kw-dsg-alu-17.html
VW T6 Multivan 2.0 TDI,922000,127027,146,2019,Nafta,Automat,,Ne,4x4 DSG PanAmericana 4Motion 7-míst,,,PHEV,,,,Dostupný,Autodraft.cz,https://www.autodraft.cz/detail/15193-volkswagen-t6-multivan-2-0-tdi-146kw-4x4-dsg-panamericana-4motion-7-mist.html
VW Golf 8 Variant Life 2.0 TDI,409000,129600,110,2021,Nafta,Automat,ALU 16'',Ne,DSG,,,,Variant,,,Dostupný,Autodraft.cz,https://www.autodraft.cz/detail/14993-volkswagen-golf-8-variant-life-2-0-tdi-110kw-dsg-alu-16.html
VW Passat B8 Variant Comfortline 2.0 TDI,288000,264776,140,2019,Nafta,Automat,ALU 16'',Ne,DSG,,,,Variant,,,Dostupný,Autodraft.cz,https://www.autodraft.cz/detail/15307-volkswagen-passat-b8-variant-comfortline-2-0-tdi-140kw-dsg-alu-16.html
VW Transporter T6 Combi 2.0 TDI,832000,69299,110,2024,Nafta,Automat,,Ne,DSG 9-míst,,,,Combi,,,Dostupný,Autodraft.cz,https://www.autodraft.cz/detail/15360-volkswagen-transporter-t6-combi-2-0-tdi-110kw-dsg-9-mist.html
VW Passat B8 Variant Elegance 2.0 TDI,582000,146543,147,2022,Nafta,Automat,ALU 17''+ ALU 18'',Ne,DSG R-line,,,,Variant,R-Line,,Dostupný,Autodraft.cz,https://www.autodraft.cz/detail/15342-volkswagen-passat-b8-variant-elegance-2-0-tdi-147kw-dsg-r-line-alu-17-alu-18.html
VW Passat B8 Variant 4Motion 2.0 TDI,476000,161604,147,2022,Nafta,Automat,ALU 17'',Ne,4x4 DSG,,,,Variant,,,Dostupný,Autodraft.cz,https://www.autodraft.cz/detail/15353-volkswagen-passat-b8-variant-4motion-2-0-tdi-147kw-4x4-dsg-alu-17.html
Škoda Superb 3 Combi Style 2.0 TDI,472000,170207,110,2023,Nafta,Automat,ALU 17'',Ne,DSG,,,,Combi,,,Dostupný,Autodraft.cz,https://www.autodraft.cz/detail/15340-skoda-superb-3-combi-style-2-0-tdi-110kw-dsg-alu-17.html
VW Passat B8 Variant 2.0 TDI,436000,176886,110,2020,Nafta,Automat,ALU 16'',Ne,DSG,,,,Variant,,,Dostupný,Autodraft.cz,https://www.autodraft.cz/detail/15304-volkswagen-passat-b8-variant-2-0-tdi-110kw-dsg-alu-16.html
VW Arteon Shooting Brake 2.0 TDI,786000,35371,110,2023,Nafta,Automat,ALU 18'',Ne,DSG,,,,,R-Line,,Dostupný,Autodraft.cz,https://www.autodraft.cz/detail/15327-volkswagen-arteon-shooting-brake-2-0-tdi-110kw-dsg-r-line-alu-18.html
VW Tiguan 2.0 TDI,458000,107591,140,2017,Nafta,Automat,ALU 17'',Ne,4x4 DSG 4Motion,,,,,,,Dostupný,Autodraft.cz,https://www.autodraft.cz/detail/15324-volkswagen-tiguan-2-0-tdi-140kw-4x4-dsg-4motion-alu-17.html
VW Sharan 2.0 TDI Cup,427000,148736,103,2015,Nafta,Automat,ALU 18'',Ne,DSG 7-míst Int. dětské sedačky,,,,,,,Dostupný,Autodraft.cz,https://www.autodraft.cz/detail/15290-volkswagen-sharan-2-0-tdi-cup-103kw-dsg-7-mist-alu-18-int-detske-sedacky.html
Škoda Superb 3 Combi Style 2.0 TDI,527000,141997,147,2021,Nafta,Automat,ALU 17'',Ne,DSG,,,,Combi,,,Dostupný,Autodraft.cz,https://www.autodraft.cz/detail/15251-skoda-superb-3-combi-style-2-0-tdi-147kw-dsg-alu-17.html
Škoda Octavia 4 Combi RS 2.0 TDI,686000,66905,147,2023,Nafta,Automat,ALU 18''/ Webasto,Ne,DSG,,,,Combi,,,Dostupný,Autodraft.cz,https://www.autodraft.cz/detail/15298-skoda-octavia-4-rs-combi-2-0-tdi-147kw-dsg-alu-18-webasto.html
Škoda Superb 3 Lim. 2.0 TDI,478000,110367,140,2019,Nafta,Automat,,Ne,4x4 DSG Laurin & Klement Webasto,,,,,,,Dostupný,Autodraft.cz,https://www.autodraft.cz/detail/15192-skoda-superb-3-lim-2-0-tdi-140kw-4x4-dsg-laurin-klement-webasto.html
Škoda Octavia 4 Combi 2.0 TDI,609000,71411,110,2023,Nafta,Automat,ALU 18''+ zimní sada,Ne,DSG,,,,Combi,Sportline,,Dostupný,Autodraft.cz,https://www.autodraft.cz/detail/15277-skoda-octavia-4-combi-2-0-tdi-110kw-dsg-sportline-alu-18-zimni-sada.html
VW Passat B8 Variant 2.0 TDI,452000,153650,110,2021,Nafta,Automat,ALU 18''+ zimní sada,Ne,DSG,,,,Variant,,,Dostupný,Autodraft.cz,https://www.autodraft.cz/detail/15233-volkswagen-passat-b8-variant-2-0-tdi-110kw-dsg-alu-18-zimni-sada.html
VW Tiguan 2.0 TDI,698000,97880,110,2023,Nafta,Automat,ALU 18''+ ALU 17'',Ne,DSG,,,,,Elegance,,Dostupný,Autodraft.cz,https://www.autodraft.cz/detail/15252-volkswagen-tiguan-2-0-tdi-110kw-dsg-elegance-alu-18-alu-17.html
Škoda Karoq 2.0 TDI,352000,235235,110,2019,Nafta,Automat,"ALU 18""",Ne,4x4 DSG,,,,,,,Dostupný,Autodraft.cz,https://www.autodraft.cz/detail/10773-skoda-karoq-2-0-tdi-110kw-4x4-dsg-alu-18.html
Škoda Kodiaq Style 2.0 TDI,662000,164051,147,2022,Nafta,Automat,ALU 19''+ ALU 18'',Ne,4x4 DSG,,,,,,,Dostupný,Autodraft.cz,https://www.autodraft.cz/detail/15248-skoda-kodiaq-style-2-0-tdi-147kw-4x4-dsg-alu-19-alu-18.html
VW Passat B8 Variant Business 2.0 TDI,422000,163285,110,2022,Nafta,Automat,ALU 16''+ zimní sada,Ne,DSG,,,,Variant,,,Dostupný,Autodraft.cz,https://www.autodraft.cz/detail/15257-volkswagen-passat-b8-variant-business-2-0-tdi-110kw-dsg-alu-16-zimni-sada.html
Seat Tarraco Xcellence 2.0 TDI,531000,105097,110,2021,Nafta,,ALU 18'',Ne,MAN,,,,,,,Dostupný,Autodraft.cz,https://www.autodraft.cz/detail/15225-seat-tarraco-xcellence-2-0-tdi-110kw-man-alu-18.html
VW Tiguan 4Motion 2.0 TDI,716000,97629,147,2022,Nafta,Automat,ALU 19'',Ne,4x4 DSG,,,,,Elegance,,Dostupný,Autodraft.cz,https://www.autodraft.cz/detail/15261-volkswagen-tiguan-4motion-2-0-tdi-147kw-4x4-dsg-elegance-alu-19.html
Škoda Superb 3 Combi Style 2.0 TDI,558000,128736,147,2022,Nafta,Automat,2x sada ALU 17'',Ne,DSG,,,,Combi,,,Dostupný,Autodraft.cz,https://www.autodraft.cz/detail/15204-skoda-superb-3-combi-style-2-0-tdi-147kw-dsg-2x-sada-alu-17.html
Škoda Octavia 4 Combi 2.0 TDI,558000,136918,147,2022,Nafta,Automat,ALU 18''+ ALU 17'',Ne,4x4 DSG Scout,,,,Combi,,,Dostupný,Autodraft.cz,https://www.autodraft.cz/detail/15198-skoda-octavia-4-combi-2-0-tdi-147kw-4x4-dsg-scout-alu-18-alu-17.html
VW Golf 8 Variant 2.0 TDI,467000,119773,110,2022,Nafta,Automat,ALU 16'',Ne,DSG,,,,Variant,,,Dostupný,Autodraft.cz,https://www.autodraft.cz/detail/15162-volkswagen-golf-8-variant-2-0-tdi-110kw-dsg-alu-16.html
Škoda Superb 3 Sedan Style 2.0 TDI,529000,108805,110,2022,Nafta,Automat,ALU 18''+ ALU 17'',Ne,DSG,,,,,,,Dostupný,Autodraft.cz,https://www.autodraft.cz/detail/15240-skoda-superb-3-sedan-style-2-0-tdi-110kw-dsg-alu-18-alu-17.html
Škoda Octavia 4 RS Sedan 2.0 TDI,642000,91875,147,2023,Nafta,Automat,ALU 18'',Ne,DSG,,,,,,,Dostupný,Autodraft.cz,https://www.autodraft.cz/detail/15239-skoda-octavia-4-rs-sedan-2-0-tdi-147kw-dsg-alu-18.html
Škoda Superb 3 Combi Style 2.0 TDI,554000,152545,147,2022,Nafta,Automat,ALU 17'',Ne,DSG,,,,Combi,,,Dostupný,Autodraft.cz,https://www.autodraft.cz/detail/15206-skoda-superb-3-combi-style-2-0-tdi-147kw-dsg-alu-17.html
VW Passat B8 Variant 4Motion 2.0 TDI,492000,151961,147,2022,Nafta,Automat,ALU 17'',Ne,4x4 DSG,,,,Variant,,,Dostupný,Autodraft.cz,https://www.autodraft.cz/detail/15163-volkswagen-passat-b8-variant-4motion-2-0-tdi-147kw-4x4-dsg-alu-17.html
VW Passat B8 Variant Elegance 2.0 TDI,626000,90413,147,2022,Nafta,Automat,ALU 18''+ ALU 16'',Ne,DSG,,,,Variant,R-Line,,Dostupný,Autodraft.cz,https://www.autodraft.cz/detail/15027-volkswagen-passat-b8-variant-elegance-2-0-tdi-147kw-dsg-r-line-alu-18-alu-16.html
VW Passat B8 Variant 2.0 TDI,398000,169820,110,2023,Nafta,Automat,ALU 16'',Ne,DSG,,,,Variant,,,Dostupný,Autodraft.cz,https://www.autodraft.cz/detail/15154-volkswagen-passat-b8-variant-2-0-tdi-110kw-dsg-alu-16.html
Škoda Superb 3 Combi 2.0 TDI,636000,142825,147,2022,Nafta,Automat,ALU 19'',Ne,DSG,,,,Combi,Sportline,,Dostupný,Autodraft.cz,https://www.autodraft.cz/detail/15159-skoda-superb-3-combi-2-0-tdi-147kw-dsg-sportline-alu-19.html
Škoda Karoq 2.0 TDI,527000,88886,85,2023,Nafta,Automat,ALU 17'',Ne,DSG,,,,,,,Dostupný,Autodraft.cz,https://www.autodraft.cz/detail/14861-skoda-karoq-2-0-tdi-85kw-dsg-alu-17.html
VW Golf 8 Variant 2.0 TDI,338000,180351,110,2022,Nafta,,ALU 16'',Ne,,,,,Variant,,,Dostupný,Autodraft.cz,https://www.autodraft.cz/detail/15139-volkswagen-golf-8-variant-2-0-tdi-110kw-alu-16.html
VW Touran 2.0 TDI,496000,152205,110,2022,Nafta,Automat,ALU 16''+ zimní sada,Ne,DSG,,,,,,,Dostupný,Autodraft.cz,https://www.autodraft.cz/detail/15067-volkswagen-touran-2-0-tdi-110kw-dsg-alu-16-zimni-sada.html
VW Golf 8 Variant 2.0 TDI,472000,103478,110,2022,Nafta,Automat,ALU 16'',Ne,DSG,,,,Variant,,,Dostupný,Autodraft.cz,https://www.autodraft.cz/detail/15146-volkswagen-golf-8-variant-2-0-tdi-110kw-dsg-alu-16.html
Mercedes-Benz GLB 200d 4MATIC 4x4,932000,15039,110,2024,Nafta,Automat,ALU 18'',Ne,,,,,,,Ano,Dostupný,Autodraft.cz,https://www.autodraft.cz/detail/14801-mercedes-benz-glb-200d-4matic-4x4-110kw-alu-18.html
Škoda Octavia 4 Lim. Style 2.0 TDI,526000,74424,110,2021,Nafta,Automat,ALU 17'',Ne,4x4 DSG,,,,,,,Dostupný,Autodraft.cz,https://www.autodraft.cz/detail/15094-skoda-octavia-4-lim-style-2-0-tdi-110kw-4x4-dsg-alu-17.html
VW Golf 8 Style 2.0 TDI,396000,162993,110,2022,Nafta,Automat,ALU 17''+ zimní sada,Ne,DSG,,,,,,,Dostupný,Autodraft.cz,https://www.autodraft.cz/detail/15058-volkswagen-golf-8-style-2-0-tdi-110kw-dsg-alu-17-zimni-sada.html
Škoda Superb 3 Combi Style 2.0 TDI,459000,188269,147,2022,Nafta,Automat,ALU 17'',Ne,DSG,,,,Combi,,,Dostupný,Autodraft.cz,https://www.autodraft.cz/detail/15057-skoda-superb-3-combi-style-2-0-tdi-147kw-dsg-alu-17.html
Škoda Superb 3 Combi Style 2.0 TDI,596000,100728,147,2023,Nafta,Automat,ALU 18'',Ne,DSG,,,,Combi,,,Dostupný,Autodraft.cz,https://www.autodraft.cz/detail/15062-skoda-superb-3-combi-style-2-0-tdi-147kw-dsg-alu-18.html
Škoda Octavia 4 Combi RS 2.0 TDI,547000,161327,147,2022,Nafta,Automat,ALU 19'',Ne,DSG,,,,Combi,,,Dostupný,Autodraft.cz,https://www.autodraft.cz/detail/15029-skoda-octavia-4-combi-rs-2-0-tdi-147kw-dsg-alu-19.html
VW Golf 8 Variant Style 2.0 TDI,495000,87717,110,2022,Nafta,Automat,ALU 17''+ zimní sada,Ne,DSG,,,,Variant,,,Dostupný,Autodraft.cz,https://www.autodraft.cz/detail/15043-volkswagen-golf-8-variant-style-2-0-tdi-110kw-dsg-alu-17-zimni-sada.html
Škoda Superb 4 Combi 2.0 TDI,769000,21732,110,2025,Nafta,Automat,2x sada ALU 17'',Ne,DSG,,,,Combi,,,Dostupný,Autodraft.cz,https://www.autodraft.cz/detail/15108-skoda-superb-4-combi-2-0-tdi-110kw-dsg-2x-sada-alu-17.html
VW Arteon Shooting Brake 2.0 TDI,710000,98498,147,2021,Nafta,Automat,ALU 20'',Ne,DSG,,,,,R-Line,,Dostupný,Autodraft.cz,https://www.autodraft.cz/detail/15078-volkswagen-arteon-shooting-brake-2-0-tdi-147kw-dsg-r-line-alu-20.html
Škoda Karoq 2.0 TDI,549000,125849,110,2022,Nafta,Automat,ALU 18''+ ALU 17'',Ne,4x4 DSG,,,,,Style,,Dostupný,Autodraft.cz,https://www.autodraft.cz/detail/15075-skoda-karoq-2-0-tdi-110kw-4x4-dsg-style-alu-18-alu-17.html
Škoda Superb 3 Combi Style 2.0 TDI,508000,166802,110,2022,Nafta,Automat,ALU 17'',Ne,DSG,,,,Combi,,,Dostupný,Autodraft.cz,https://www.autodraft.cz/detail/15024-skoda-superb-3-combi-style-2-0-tdi-110kw-dsg-alu-17.html
VW Passat B8 Variant Elegance 2.0 TDI,446000,119673,110,2020,Nafta,Automat,ALU 17'',Ne,DSG,,,,Variant,,,Dostupný,Autodraft.cz,https://www.autodraft.cz/detail/15050-volkswagen-passat-b8-variant-elegance-2-0-tdi-110kw-dsg-alu-17.html
VW Golf 8 Variant 2.0 TDI,399000,162870,110,2022,Nafta,Automat,ALU 16'',Ne,DSG,,,,Variant,,,Dostupný,Autodraft.cz,https://www.autodraft.cz/detail/15025-volkswagen-golf-8-variant-2-0-tdi-110kw-dsg-alu-16.html
Škoda Karoq 2.0 TDI,597000,118854,110,2021,Nafta,Automat,ALU 19'',Ne,4x4 DSG,,,,,Sportline,,Dostupný,Autodraft.cz,https://www.autodraft.cz/detail/15022-skoda-karoq-2-0-tdi-110kw-4x4-dsg-sportline-alu-19.html
VW Passat B8 Variant 2.0 TDI,398000,169394,110,2020,Nafta,Automat,,Ne,DSG,,,,Variant,,,Dostupný,Autodraft.cz,https://www.autodraft.cz/detail/15010-volkswagen-passat-b8-variant-2-0-tdi-110kw-dsg.html
VW Golf 8 Variant Life 2.0 TDI,368000,179879,110,2021,Nafta,Automat,ALU 16'',Ne,DSG,,,,Variant,,,Dostupný,Autodraft.cz,https://www.autodraft.cz/detail/14981-volkswagen-golf-8-variant-life-2-0-tdi-110kw-dsg-alu-16.html
Škoda Karoq 2.0 TDI,457000,130744,85,2023,Nafta,,ALU 17'',Ne,Man.,,,,,,,Dostupný,Autodraft.cz,https://www.autodraft.cz/detail/14957-skoda-karoq-2-0-tdi-85kw-man-alu-17.html
VW Golf 8 2.0 TDI,457000,83944,110,2022,Nafta,Automat,ALU 16'',Ne,DSG,,,,,,,Dostupný,Autodraft.cz,https://www.autodraft.cz/detail/14969-volkswagen-golf-8-2-0-tdi-110kw-dsg-alu-16.html
VW Passat B8 Variant 2.0 TDI,386000,188678,110,2022,Nafta,Automat,ALU 16'',Ne,DSG,,,,Variant,,,Dostupný,Autodraft.cz,https://www.autodraft.cz/detail/14966-volkswagen-passat-b8-variant-2-0-tdi-110kw-dsg-alu-16.html
Škoda Karoq Style 2.0 TDI,449000,170463,110,2022,Nafta,Automat,ALU 18'',Ne,4x4 DSG,,,,,,,Dostupný,Autodraft.cz,https://www.autodraft.cz/detail/14983-skoda-karoq-style-2-0-tdi-110kw-4x4-dsg-alu-18.html
Škoda Karoq 2.0 TDI,449000,118926,85,2023,Nafta,Automat,ALU 17'',Ne,DSG,,,,,,,Dostupný,Autodraft.cz,https://www.autodraft.cz/detail/14936-skoda-karoq-2-0-tdi-85kw-dsg-alu-17.html
Škoda Karoq 2.0 TDI,424000,165536,85,2023,Nafta,Automat,ALU 17'',Ne,DSG,,,,,,,Dostupný,Autodraft.cz,https://www.autodraft.cz/detail/14934-skoda-karoq-2-0-tdi-85kw-dsg-alu-17.html
Škoda Karoq 2.0 TDI,429000,160801,85,2023,Nafta,Automat,ALU 17'',Ne,DSG,,,,,,,Dostupný,Autodraft.cz,https://www.autodraft.cz/detail/14862-skoda-karoq-2-0-tdi-85kw-dsg-alu-17.html
Škoda Karoq Style 2.0 TDI,443000,147337,110,2021,Nafta,Automat,ALU 18'',Ne,4x4 DSG,,,,,,,Dostupný,Autodraft.cz,https://www.autodraft.cz/detail/14724-skoda-karoq-style-2-0-tdi-110kw-4x4-dsg-alu-18.html
