Model auta,Cena (Kč),Nájezd (km),Výkon (kW),Rok výroby,Palivo,Převodovka,Kola,Náhon 4x4,Extra,Objem motoru,Typ motoru,Hybrid typ,Karoserie,Výbava,Záruka,Stav,Zdroj,Odkaz na auto
Škoda Superb 3 Combi Style 2.0 TDI,550000,118415,147,2022,Nafta,Automat,ALU 17''+ ALU 16'',Ne,,,,,Combi,,,Dostupný,Autodraft.cz,https://www.autodraft.cz/detail/15981-skoda-superb-3-combi-style-2-0-tdi-147kw-alu-17-alu-16.html
Škoda Superb 3 Combi 2.0 TDI,416998,185574,110,2023,Nafta,Automat,ALU 16''+ zimní sada,Ne,DSG,,,,Combi,,,Dostupný,Autodraft.cz,https://www.autodraft.cz/detail/15996-skoda-superb-3-combi-2-0-tdi-110kw-dsg-alu-16-zimni-sada.html
VW Arteon Shooting Brake 2.0 TDI,553000,162084,110,2022,Nafta,Automat,2x sada ALU 18'',Ne,DSG,,,,,R-Line,,Zamluvené,Autodraft.cz,https://www.autodraft.cz/detail/15976-volkswagen-arteon-shooting-brake-2-0-tdi-110kw-dsg-r-line-2x-sada-alu-18.html
VW Golf 8 Variant 2.0 TDI,380000,166164,110,2022,Nafta,Automat,ALU 16''+ zimní sada,Ne,DSG,,,,Variant,,,Prodané,Autodraft.cz,https://www.autodraft.cz/detail/15964-volkswagen-golf-8-variant-2-0-tdi-110kw-dsg-alu-16-zimni-sada.html
VW Passat B8 Variant Elegance 2.0 TDI,515000,142128,110,2023,Nafta,Automat,ALU 18''+ ALU 17'',Ne,DSG,,,,Variant,R-Line,,Zamluvené,Autodraft.cz,https://www.autodraft.cz/detail/15962-volkswagen-passat-b8-variant-elegance-2-0-tdi-110kw-dsg-r-line-alu-18-alu-17.html
VW Passat B8 Variant Elegance 4Motion 2.0 TDI,616000,99409,147,2023,Nafta,Automat,,Ne,4x4 DSG,,,,Variant,R-Line,,Dostupný,Autodraft.cz,https://www.autodraft.cz/detail/15984-volkswagen-passat-b8-variant-elegance-4motion-2-0-tdi-147kw-4x4-dsg-r-line.html
Škoda Kodiaq 2.0 TDI,534000,150331,110,2022,Nafta,Automat,ALU 17''+ zimní sada,Ne,DSG,,,,,,,Dostupný,Autodraft.cz,https://www.autodraft.cz/detail/15922-skoda-kodiaq-2-0-tdi-110kw-dsg-alu-17-zimni-sada.html
Škoda Superb 3 Combi 2.0 TDI,459000,134289,110,2022,Nafta,Automat,ALU 16''+ zimní sada,Ne,DSG,,,,Combi,,,Dostupný,Autodraft.cz,https://www.autodraft.cz/detail/15980-skoda-superb-3-combi-2-0-tdi-110kw-dsg-alu-16-zimni-sada.html
Škoda Kodiaq Sportline 2.0 TDI,629000,165351,147,2021,Nafta,Automat,ALU 20''+ ALU 18'',Ne,4x4 DSG,,,,,,,Dostupný,Autodraft.cz,https://www.autodraft.cz/detail/15970-skoda-kodiaq-sportline-2-0-tdi-147kw-4x4-dsg-alu-20-alu-18.html
VW Passat B8 Variant 2.0 TDI,416000,157618,110,2023,Nafta,Automat,ALU 17'',Ne,DSG,,,,Variant,,,Zamluvené,Autodraft.cz,https://www.autodraft.cz/detail/15924-volkswagen-passat-b8-variant-2-0-tdi-110kw-dsg-alu-17.html
Škoda Octavia 4 Combi Exclusive 2.0 TDI,730000,26471,110,2025,Nafta,Automat,2x sada ALU 17'',Ne,DSG,,,PHEV,Combi,,,Dostupný,Autodraft.cz,https://www.autodraft.cz/detail/15956-skoda-octavia-4-combi-exclusive-2-0-tdi-110kw-dsg-2x-sada-alu-17.html
Škoda Octavia 4 Combi Selection 2.0 TDI,627000,50480,110,2025,Nafta,Automat,2x sada ALU 17'',Ne,DSG,,,,Combi,,,Dostupný,Autodraft.cz,https://www.autodraft.cz/detail/15954-skoda-octavia-4-combi-selection-2-0-tdi-110kw-dsg-2x-sada-alu-17.html
Škoda Octavia 4 Sedan Sportline 2.0 TDI,468000,104676,85,2022,Nafta,,ALU 17'',Ne,Man.,,,,,,,Dostupný,Autodraft.cz,https://www.autodraft.cz/detail/15363-skoda-octavia-4-sedan-sportline-2-0-tdi-85kw-man-alu-17.html
Seat Ateca Style 2.0 TDI,424000,129063,110,2022,Nafta,Automat,ALU 17'',Ne,DSG,,,,,,,Dostupný,Autodraft.cz,https://www.autodraft.cz/detail/15310-seat-ateca-style-2-0-tdi-110kw-dsg-alu-17.html
Seat Ateca Style 2.0 TDI,398000,167337,110,2020,Nafta,Automat,ALU 17'',Ne,DSG,,,,,,,Dostupný,Autodraft.cz,https://www.autodraft.cz/detail/15316-seat-ateca-style-2-0-tdi-110kw-dsg-alu-17.html
