Model auta,Cena (Kč),Nájezd (km),Rok výroby,Palivo,Objem motoru,Typ motoru,Hybrid typ,Výkon (kW),Převodovka,Dvouspojková převodovka,Filtr pevných částic,Kola,Náhon 4x4,Karoserie,Výbava,Záruka,Extra,Stav,Zdroj,Spárováno,Odkaz na auto
Audi Q2 35 TFSI (Pohon předních kol),569900,69417,2023,Benzín,1.5,TFSI,,110,Automatická,,,,Ne,SUV,,,Advanced 7Stronic,Ojeté,Sauto.cz,Ano,
Audi Q2 35 TFSI (Pohon předních kol),569900,36276,2023,Benzín,1.5,TFSI,,109,Automatická,,,,Ne,SUV,,,Advanced 35 Stronic,Ojeté,Sauto.cz,Ano,
Audi Q2 35 TFSI (Pohon předních kol),569000,25100,2022,Nafta,2.0,,,110,Automatická,,,,Ano,SUV,Quattro,,"NAVI,KAMERA",Ojeté,Sauto.cz,Ano,
Audi Q3 35 TFSI (Standardní SUV),599000,34866,2022,Benzín,1.5,TFSI,,110,Manuální,,,,Ne,SUV,,,35,Ojeté,Sauto.cz,Ano,
Audi Q3 35 TFSI (Standardní SUV),599900,92820,2021,Nafta,2.0,TDI,,110,Automatická,,,,Ano,SUV,Quattro,,"35 SB, VIRTUAL, LED",Ojeté,Sauto.cz,Ano,
Audi Q3 35 TFSI (Standardní SUV),704999,35550,2023,Benzín,1.5,TFSI,,110,Automatická,,,,Ne,SUV,,,,Ojeté,Sauto.cz,Ano,
Audi Q3 35 TFSI (Standardní SUV),750000,70576,2021,Nafta,2.0,TDI,,140,Automatická,,,,Ano,SUV,S-Line,,"40 , DPH, ČR",Ojeté,Sauto.cz,Ano,
Audi Q3 35 TFSI (Standardní SUV),730000,58073,2022,Benzín,1.5,TFSI,,110,Automatická,,,,Ne,SUV,,,SB Sline 35 / 110,Ojeté,Sauto.cz,Ano,
Audi Q3 35 TFSI (Standardní SUV),699000,54224,2024,Benzín,1.5,TFSI,,110,Automatická,,,,Ne,SUV,S Line,,AT7 Gravity,Ojeté,Sauto.cz,Ano,
Audi Q3 35 TFSI (Standardní SUV),735000,45733,2024,Benzín,1.5,TFSI,,110,Automatická,,,,Ne,SUV,S Line,,35 S tronic LE,Ojeté,Sauto.cz,Ano,
Audi Q3 35 TFSI (Standardní SUV),598000,88268,2023,Benzín,1.5,TFSI,,110,Manuální,,,,Ano,SUV,,,35,Ojeté,Sauto.cz,Ano,
Audi Q3 35 TFSI (Standardní SUV),699000,89480,2022,Nafta,2.0,TDI,,110,Automatická,,,,Ano,SUV,,,Q3 ADVANCED QUA,Ojeté,Sauto.cz,Ano,
Audi Q3 45 TFSI e (PHEV),670000,79221,2021,Benzín,1.5,,,110,Automatická,,,,Ne,Hatchback,,,Audi Q3 Sportback,Ojeté,Sauto.cz,Ano,
Audi Q3 35 TFSI (Standardní SUV),749000,71000,2021,Nafta,2.0,TDI,,110,Automatická,,,,Ne,SUV,,,Audi Q3 Sportback 35,Ojeté,Sauto.cz,Ano,
BAIC X3 1.5T 6MT,458991,25,2025,Benzín,1.5,,,110,Automatická,,,,Ne,SUV,,,T AUTOMAT LED ŠÍBR,Nové,Sauto.cz,Ano,
