Typ,Model auta,Cena (Kč),Nájezd (km),Rok výroby,Palivo,Objem motoru,Typ motoru,Hybrid typ,Výkon (kW),Převodovka,Dvouspojková převodovka,Filtr pevných částic,Kola,Náhon 4x4,Karoserie,Výbava,Záruka,Tepelné čerpadlo,Spárováno,Skóre shody,Extra,Stav,Zdroj,Odkaz na auto
Spalovací,Audi A4 Avant 35 TFSI (Kombi),539990,45300,2022,Nafta,2.0,TDI,,120,Automatická,Ano,,,Ne,Kombi,,,,Ano,,35 ČR 1.maj. DPH,Odstraněno,Sauto.cz,https://www.sauto.cz/osobni/detail/audi/a4-avant/210270098
Spalovací,Audi A4 Avant 35 TFSI (Kombi),659000,53817,2023,Benzín,2.0,TFSI,,110,Automatická,,,,Ne,Kombi,,,,Ano,5,,Ojeté,Sauto.cz,https://www.sauto.cz/osobni/detail/audi/a4-avant/210305918
Spalovací,Audi A4 Avant 35 TFSI (Kombi),580000,86995,2022,Nafta,2.0,TDI,,120,Automatická,Ano,,,Ne,Kombi,,,,Ano,2,35eTDI,Ojeté,Sauto.cz,https://www.sauto.cz/osobni/detail/audi/a4-avant/210446960
Spalovací,Audi A4 Avant 35 TFSI (Kombi),692000,61688,2023,Nafta,2.0,TDI,,150,Automatická,,,,Ano,Kombi,S-Line,,,Ano,,40,Odstraněno,Sauto.cz,https://www.sauto.cz/osobni/detail/audi/a4-avant/210478541
Spalovací,Audi A4 Avant 35 TFSI (Kombi),500000,32626,2022,Benzín,2.0,TFSI,,110,Manuální,,,,Ne,Kombi,,,,Ano,,"35 , Automatická klima",Odstraněno,Sauto.cz,https://www.sauto.cz/osobni/detail/audi/a4/209846544
Spalovací,Audi A4 Avant 35 TFSI (Kombi),667900,51950,2023,Benzín,2.0,TFSI,,150,Automatická,,,,Ne,Kombi,,,,Ano,5,Avant ACC LED,Ojeté,Sauto.cz,https://www.sauto.cz/osobni/detail/audi/a4/210187214
Spalovací,Audi A4 Avant 35 TFSI (Kombi),539990,45300,2022,Nafta,2.0,TDI,,120,Automatická,Ano,,,Ne,Kombi,,,,Ano,,35 ČR 1.maj. DPH,Odstraněno,Sauto.cz,https://www.sauto.cz/osobni/detail/audi/a4/210214292
Spalovací,Audi A5 2.0 TFSI,739000,22650,2021,Benzín,2.0,TFSI,,150,Automatická,,,,Ano,Hatchback,S Line,,,Ano,,40 DPH,Odstraněno,Sauto.cz,https://www.sauto.cz/osobni/detail/audi/a5/210146954
Spalovací,Audi A5 2.0 TDI,719900,55950,2022,Nafta,2.0,TDI,,150,Automatická,,,,Ne,Liftback,S-Line,,,Ano,4,40 55tkm. ČR,Ojeté,Sauto.cz,https://www.sauto.cz/osobni/detail/audi/a5/210207365
Spalovací,Audi A6 2.0 TDI,725000,92750,2022,Nafta,2.0,TDI,,150,Automatická,,,,Ano,Kombi,Quattro,,,Nejisté,4,AUDI A6 AVANT ČR,Ojeté,Sauto.cz,https://www.sauto.cz/osobni/detail/audi/a6-avant/210235979
